*.uuid,*.event,*.properties.$app_build,*.properties.$app_name,*.properties.$app_namespace,*.properties.$app_version,*.properties.$device_manufacturer,*.properties.$device_name,*.properties.$device_type,*.properties.$geoip_disable,*.properties.$is_emulator,*.properties.$is_identified,*.properties.$lib,*.properties.$lib_version,*.properties.$locale,*.properties.$os_name,*.properties.$os_version,*.properties.$process_person_profile,*.properties.$screen_height,*.properties.$screen_width,*.properties.$sent_at,*.properties.$session_id,*.properties.$timezone,*.properties.duration_ms,*.properties.engine,*.properties.model_version,*.properties.outcome,*.properties.trigger,*.properties.$os,*.properties.$has_recording,*.timestamp,*.team_id,*.distinct_id,*.elements_chain,*.created_at,*.person_mode,event,person_display_name -- Person.display_name,person_display_name -- Person.id,person_display_name -- Person.distinct_id,"coalesce(properties.$current_url, properties.$screen_name) -- Url / Screen",properties.$lib,timestamp
01a06325-08de-7cd8-b58d-5316dde55222,plan_requested,1,Hourwell,com.hourwell.app,0.1.0,Google,Pixel 7a,Mobile,True,False,False,posthog-react-native,4.63.9,en-US-u-mu-celsius,Android,17,False,914.2857142857144,411.42857142857144,2026-09-02T17:22:46.77Z,01a06324-e25c-74a2-9879-4386caba8162,Europe/Kiev,2747,heuristic,heuristic-p6.0,fallback,evening_ritual,Android,False,2026-09-02 17:22:44.911000+00:00,256687,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,2026-09-02 17:22:45.825000+00:00,propertyless,plan_requested,01a05e0c-9989-7658-8fe7-6bfa12a95f48,4c95ad21-dead-5b16-8980-961468cbcd87,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,posthog-react-native,2026-09-02 17:22:44.911000+00:00
01a06243-464b-7de3-aacf-1739be5703cf,plan_requested,1,Hourwell,com.hourwell.app,0.1.0,Google,Pixel 7a,Mobile,True,False,False,posthog-react-native,4.63.9,en-US-u-mu-celsius,Android,17,False,914.2857142857144,411.42857142857144,2026-09-02T13:16:19.721Z,01a06243-4071-7f89-8819-1156404da34a,Europe/Kiev,1533,learned,recsys-p5.0,learned,first_open,Android,False,2026-09-02 13:16:10.885000+00:00,256687,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,2026-09-02 13:16:21.050000+00:00,propertyless,plan_requested,01a05e0c-9989-7658-8fe7-6bfa12a95f48,4c95ad21-dead-5b16-8980-961468cbcd87,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,posthog-react-native,2026-09-02 13:16:10.885000+00:00
01a06241-26ad-74d7-a0f4-ee6c52cc65a1,plan_requested,1,Hourwell,com.hourwell.app,0.1.0,Google,Pixel 7a,Mobile,True,False,False,posthog-react-native,4.63.9,en-US-u-mu-celsius,Android,17,False,914.2857142857144,411.42857142857144,2026-09-02T13:13:57.296Z,01a06241-1416-78f8-9145-8797fc5cabd3,Europe/Kiev,3992,learned,recsys-p5.0,learned,first_open,Android,False,2026-09-02 13:13:51.012000+00:00,256687,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,2026-09-02 13:13:58.156000+00:00,propertyless,plan_requested,01a05e0c-9989-7658-8fe7-6bfa12a95f48,4c95ad21-dead-5b16-8980-961468cbcd87,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,posthog-react-native,2026-09-02 13:13:51.012000+00:00
01a061ed-b0e6-7dbd-bd09-28dade9aa9fd,plan_requested,1,Hourwell,com.hourwell.app,0.1.0,Google,Pixel 7a,Mobile,True,False,False,posthog-react-native,4.63.9,en-US-u-mu-celsius,Android,17,False,914.2857142857144,411.42857142857144,2026-09-02T11:42:46.944Z,01a061ed-996b-7b88-9c11-648dffe5b558,Europe/Kiev,4857,learned,recsys-p5.0,learned,first_open,Android,False,2026-09-02 11:42:41.590000+00:00,256687,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,2026-09-02 11:42:47.098000+00:00,propertyless,plan_requested,01a05e0c-9989-7658-8fe7-6bfa12a95f48,4c95ad21-dead-5b16-8980-961468cbcd87,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,posthog-react-native,2026-09-02 11:42:41.590000+00:00
01a06153-804b-7b54-ab55-a100ec0260a5,plan_requested,1,Hourwell,com.hourwell.app,0.1.0,Google,Pixel 7a,Mobile,True,False,False,posthog-react-native,4.63.9,en-US-u-mu-celsius,Android,17,False,711.1111111111111,320,2026-09-02T08:54:24.858Z,01a06153-7642-72d2-b1e4-4758cbd63454,Europe/Kiev,2536,learned,recsys-p5.0,learned,first_open,Android,False,2026-09-02 08:54:16.213000+00:00,256687,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,2026-09-02 08:54:24.407000+00:00,propertyless,plan_requested,01a05e0c-9989-7658-8fe7-6bfa12a95f48,4c95ad21-dead-5b16-8980-961468cbcd87,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,posthog-react-native,2026-09-02 08:54:16.213000+00:00
01a06150-2cab-7bef-b1fc-87eb0fad8e11,plan_requested,1,Hourwell,com.hourwell.app,0.1.0,Google,Pixel 7a,Mobile,True,False,False,posthog-react-native,4.63.9,en-US-u-mu-celsius,Android,17,False,711.1111111111111,320,2026-09-02T08:50:45.927Z,01a06150-1f0b-7276-a601-f949bcf7a74e,Europe/Kiev,3498,learned,recsys-p5.0,learned,first_open,Android,False,2026-09-02 08:50:38.467000+00:00,256687,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,2026-09-02 08:50:45.137000+00:00,propertyless,plan_requested,01a05e0c-9989-7658-8fe7-6bfa12a95f48,4c95ad21-dead-5b16-8980-961468cbcd87,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,posthog-react-native,2026-09-02 08:50:38.467000+00:00
01a0614f-5f04-75a5-9ea3-dac3fd131624,plan_requested,1,Hourwell,com.hourwell.app,0.1.0,Google,Pixel 7a,Mobile,True,False,False,posthog-react-native,4.63.9,en-US-u-mu-celsius,Android,17,False,711.1111111111111,320,2026-09-02T08:49:54.714Z,01a0614f-56fd-7ef9-9a7e-584323841fd1,Europe/Kiev,2084,learned,recsys-p5.0,learned,first_open,Android,False,2026-09-02 08:49:45.559000+00:00,256687,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,2026-09-02 08:49:53.914000+00:00,propertyless,plan_requested,01a05e0c-9989-7658-8fe7-6bfa12a95f48,4c95ad21-dead-5b16-8980-961468cbcd87,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,posthog-react-native,2026-09-02 08:49:45.559000+00:00
01a0614e-c61b-7de0-b33a-b4c48bd4fecb,plan_requested,1,Hourwell,com.hourwell.app,0.1.0,Google,Pixel 7a,Mobile,True,False,False,posthog-react-native,4.63.9,en-US-u-mu-celsius,Android,17,False,711.1111111111111,320,2026-09-02T08:49:15.262Z,01a0614e-bcd1-72f6-8213-f96f623e4414,Europe/Kiev,2331,learned,recsys-p5.0,learned,first_open,Android,False,2026-09-02 08:49:06.739000+00:00,256687,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,2026-09-02 08:49:14.577000+00:00,propertyless,plan_requested,01a05e0c-9989-7658-8fe7-6bfa12a95f48,4c95ad21-dead-5b16-8980-961468cbcd87,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,posthog-react-native,2026-09-02 08:49:06.739000+00:00
01a06146-74ce-7a6e-ad21-6f635dc2d205,plan_requested,1,Hourwell,com.hourwell.app,0.1.0,Google,Pixel 7a,Mobile,True,False,False,posthog-react-native,4.63.9,en-US-u-mu-celsius,Android,17,False,914.2857142857144,411.42857142857144,2026-09-02T08:40:06.023Z,01a06144-33a1-76fa-bc19-e01a731f3052,Europe/Kiev,3107,learned,recsys-p5.0,learned,manual,Android,False,2026-09-02 08:40:01.414000+00:00,256687,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,2026-09-02 08:40:05.258000+00:00,propertyless,plan_requested,01a05e0c-9989-7658-8fe7-6bfa12a95f48,4c95ad21-dead-5b16-8980-961468cbcd87,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,posthog-react-native,2026-09-02 08:40:01.414000+00:00
01a06146-569f-7c15-a837-ebbc43524193,plan_requested,1,Hourwell,com.hourwell.app,0.1.0,Google,Pixel 7a,Mobile,True,False,False,posthog-react-native,4.63.9,en-US-u-mu-celsius,Android,17,False,914.2857142857144,411.42857142857144,2026-09-02T08:39:54.827Z,01a06144-33a1-76fa-bc19-e01a731f3052,Europe/Kiev,3526,learned,recsys-p5.0,learned,manual,Android,False,2026-09-02 08:39:53.602000+00:00,256687,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,2026-09-02 08:39:54.306000+00:00,propertyless,plan_requested,01a05e0c-9989-7658-8fe7-6bfa12a95f48,4c95ad21-dead-5b16-8980-961468cbcd87,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,posthog-react-native,2026-09-02 08:39:53.602000+00:00
01a06146-386c-7441-bee5-bebb33110054,plan_requested,1,Hourwell,com.hourwell.app,0.1.0,Google,Pixel 7a,Mobile,True,False,False,posthog-react-native,4.63.9,en-US-u-mu-celsius,Android,17,False,914.2857142857144,411.42857142857144,2026-09-02T08:39:54.827Z,01a06144-33a1-76fa-bc19-e01a731f3052,Europe/Kiev,3836,learned,recsys-p5.0,learned,manual,Android,False,2026-09-02 08:39:45.871000+00:00,256687,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,2026-09-02 08:39:54.257000+00:00,propertyless,plan_requested,01a05e0c-9989-7658-8fe7-6bfa12a95f48,4c95ad21-dead-5b16-8980-961468cbcd87,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,posthog-react-native,2026-09-02 08:39:45.871000+00:00
01a06146-1544-7148-a38b-1f463c91ca23,plan_requested,1,Hourwell,com.hourwell.app,0.1.0,Google,Pixel 7a,Mobile,True,False,False,posthog-react-native,4.63.9,en-US-u-mu-celsius,Android,17,False,914.2857142857144,411.42857142857144,2026-09-02T08:39:45.618Z,01a06144-33a1-76fa-bc19-e01a731f3052,Europe/Kiev,2919,learned,recsys-p5.0,learned,manual,Android,False,2026-09-02 08:39:36.940000+00:00,256687,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,2026-09-02 08:39:44.727000+00:00,propertyless,plan_requested,01a05e0c-9989-7658-8fe7-6bfa12a95f48,4c95ad21-dead-5b16-8980-961468cbcd87,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,posthog-react-native,2026-09-02 08:39:36.940000+00:00
01a06145-f470-771c-86e6-9f923502bac6,plan_requested,1,Hourwell,com.hourwell.app,0.1.0,Google,Pixel 7a,Mobile,True,False,False,posthog-react-native,4.63.9,en-US-u-mu-celsius,Android,17,False,914.2857142857144,411.42857142857144,2026-09-02T08:39:33.363Z,01a06144-33a1-76fa-bc19-e01a731f3052,Europe/Kiev,2692,learned,recsys-p5.0,learned,manual,Android,False,2026-09-02 08:39:28.532000+00:00,256687,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,2026-09-02 08:39:32.752000+00:00,propertyless,plan_requested,01a05e0c-9989-7658-8fe7-6bfa12a95f48,4c95ad21-dead-5b16-8980-961468cbcd87,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,posthog-react-native,2026-09-02 08:39:28.532000+00:00
01a06145-d733-724e-8351-b3a0a4cc5ed4,plan_requested,1,Hourwell,com.hourwell.app,0.1.0,Google,Pixel 7a,Mobile,True,False,False,posthog-react-native,4.63.9,en-US-u-mu-celsius,Android,17,False,914.2857142857144,411.42857142857144,2026-09-02T08:39:22.265Z,01a06144-33a1-76fa-bc19-e01a731f3052,Europe/Kiev,3271,heuristic,heuristic-p6.0,fallback,manual,Android,False,2026-09-02 08:39:20.939000+00:00,256687,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,2026-09-02 08:39:21.229000+00:00,propertyless,plan_requested,01a05e0c-9989-7658-8fe7-6bfa12a95f48,4c95ad21-dead-5b16-8980-961468cbcd87,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,posthog-react-native,2026-09-02 08:39:20.939000+00:00
01a06145-b8fe-7e48-87c1-d88d719a08c6,plan_requested,1,Hourwell,com.hourwell.app,0.1.0,Google,Pixel 7a,Mobile,True,False,False,posthog-react-native,4.63.9,en-US-u-mu-celsius,Android,17,False,914.2857142857144,411.42857142857144,2026-09-02T08:39:21.998Z,01a06144-33a1-76fa-bc19-e01a731f3052,Europe/Kiev,3667,learned,recsys-p5.0,learned,manual,Android,False,2026-09-02 08:39:13.255000+00:00,256687,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,2026-09-02 08:39:21.197000+00:00,propertyless,plan_requested,01a05e0c-9989-7658-8fe7-6bfa12a95f48,4c95ad21-dead-5b16-8980-961468cbcd87,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,posthog-react-native,2026-09-02 08:39:13.255000+00:00
